fifa_match_num,group,date_utc,home_name,away_name,home_code,away_code,espn_game_id,fifa_id_match
1,A,2026-06-11T19:00:00Z,Mexico,South Africa,MEX,RSA,760415,400021443
2,A,2026-06-12T02:00:00Z,Korea Republic,Czechia,KOR,CZE,760414,400021441
3,B,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,CAN,BIH,760416,400021449
4,D,2026-06-13T01:00:00Z,USA,Paraguay,USA,PAR,760417,400021458
5,C,2026-06-14T01:00:00Z,Haiti,Scotland,HAI,SCO,760418,400021453
6,D,2026-06-14T04:00:00Z,Australia,Türkiye,AUS,TUR,760421,400021463
7,C,2026-06-13T22:00:00Z,Brazil,Morocco,BRA,MAR,760419,400021456
8,B,2026-06-13T19:00:00Z,Qatar,Switzerland,QAT,SUI,760420,400021447
9,E,2026-06-14T23:00:00Z,Côte d'Ivoire,Ecuador,CIV,ECU,760423,400021467
10,E,2026-06-14T17:00:00Z,Germany,Curaçao,GER,CUW,760422,400021464
11,F,2026-06-14T20:00:00Z,Netherlands,Japan,NED,JPN,760425,400021470
12,F,2026-06-15T02:00:00Z,Sweden,Tunisia,SWE,TUN,760424,400021474
13,H,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,KSA,URU,760429,400021486
14,H,2026-06-15T16:00:00Z,Spain,Cabo Verde,ESP,CPV,760428,400021482
15,G,2026-06-16T01:00:00Z,IR Iran,New Zealand,IRN,NZL,760427,400021476
16,G,2026-06-15T19:00:00Z,Belgium,Egypt,BEL,EGY,760426,400021478
17,I,2026-06-16T19:00:00Z,France,Senegal,FRA,SEN,760432,400021490
18,I,2026-06-16T22:00:00Z,Iraq,Norway,IRQ,NOR,760430,400021488
19,J,2026-06-17T01:00:00Z,Argentina,Algeria,ARG,ALG,760433,400021496
20,J,2026-06-17T04:00:00Z,Austria,Jordan,AUT,JOR,760431,400021498
21,L,2026-06-17T23:00:00Z,Ghana,Panama,GHA,PAN,760434,400021510
22,L,2026-06-17T20:00:00Z,England,Croatia,ENG,CRO,760437,400021507
23,K,2026-06-17T17:00:00Z,Portugal,Congo DR,POR,COD,760435,400021502
24,K,2026-06-18T02:00:00Z,Uzbekistan,Colombia,UZB,COL,760436,400021504
25,A,2026-06-18T16:00:00Z,Czechia,South Africa,CZE,RSA,760438,400021440
26,B,2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,SUI,BIH,760439,400021446
27,B,2026-06-18T22:00:00Z,Canada,Qatar,CAN,QAT,760440,400021450
28,A,2026-06-19T01:00:00Z,Mexico,Korea Republic,MEX,KOR,760441,400021442
29,C,2026-06-20T00:30:00Z,Brazil,Haiti,BRA,HAI,760444,400021457
30,C,2026-06-19T22:00:00Z,Scotland,Morocco,SCO,MAR,760445,400021454
31,D,2026-06-20T03:00:00Z,Türkiye,Paraguay,TUR,PAR,760443,400021460
32,D,2026-06-19T19:00:00Z,USA,Australia,USA,AUS,760442,400021462
33,E,2026-06-20T20:00:00Z,Germany,Côte d'Ivoire,GER,CIV,760448,400021469
34,E,2026-06-21T00:00:00Z,Ecuador,Curaçao,ECU,CUW,760446,400021465
35,F,2026-06-20T17:00:00Z,Netherlands,Sweden,NED,SWE,760447,400021472
36,F,2026-06-21T04:00:00Z,Tunisia,Japan,TUN,JPN,760449,400021475
37,H,2026-06-21T22:00:00Z,Uruguay,Cabo Verde,URU,CPV,760450,400021487
38,H,2026-06-21T16:00:00Z,Spain,Saudi Arabia,ESP,KSA,760453,400021483
39,G,2026-06-21T19:00:00Z,Belgium,IR Iran,BEL,IRN,760451,400021477
40,G,2026-06-22T01:00:00Z,New Zealand,Egypt,NZL,EGY,760452,400021480
41,I,2026-06-23T00:00:00Z,Norway,Senegal,NOR,SEN,760454,400021491
42,I,2026-06-22T21:00:00Z,France,Iraq,FRA,IRQ,760457,400021492
43,J,2026-06-22T17:00:00Z,Argentina,Austria,ARG,AUT,760456,400021494
44,J,2026-06-23T03:00:00Z,Jordan,Algeria,JOR,ALG,760455,400021499
45,L,2026-06-23T20:00:00Z,England,Ghana,ENG,GHA,760458,400021506
46,L,2026-06-23T23:00:00Z,Panama,Croatia,PAN,CRO,760460,400021511
47,K,2026-06-23T17:00:00Z,Portugal,Uzbekistan,POR,UZB,760461,400021503
48,K,2026-06-24T02:00:00Z,Colombia,Congo DR,COL,COD,760459,400021501
49,C,2026-06-24T22:00:00Z,Scotland,Brazil,SCO,BRA,760465,400021455
50,C,2026-06-24T22:00:00Z,Morocco,Haiti,MAR,HAI,760464,400021452
51,B,2026-06-24T19:00:00Z,Switzerland,Canada,SUI,CAN,760463,400021451
52,B,2026-06-24T19:00:00Z,Bosnia and Herzegovina,Qatar,BIH,QAT,760462,400021448
53,A,2026-06-25T01:00:00Z,Czechia,Mexico,CZE,MEX,760467,400021444
54,A,2026-06-25T01:00:00Z,South Africa,Korea Republic,RSA,KOR,760466,400021445
55,E,2026-06-25T20:00:00Z,Curaçao,Côte d'Ivoire,CUW,CIV,760473,400021468
56,E,2026-06-25T20:00:00Z,Ecuador,Germany,ECU,GER,760468,400021466
57,F,2026-06-25T23:00:00Z,Japan,Sweden,JPN,SWE,760471,400021471
58,F,2026-06-25T23:00:00Z,Tunisia,Netherlands,TUN,NED,760472,400021473
59,D,2026-06-26T02:00:00Z,Türkiye,USA,TUR,USA,760470,400021459
60,D,2026-06-26T02:00:00Z,Paraguay,Australia,PAR,AUS,760469,400021461
61,I,2026-06-26T19:00:00Z,Norway,France,NOR,FRA,760475,400021489
62,I,2026-06-26T19:00:00Z,Senegal,Iraq,SEN,IRQ,760474,400021493
63,G,2026-06-27T03:00:00Z,Egypt,IR Iran,EGY,IRN,760476,400021479
64,G,2026-06-27T03:00:00Z,New Zealand,Belgium,NZL,BEL,760477,400021481
65,H,2026-06-27T00:00:00Z,Cabo Verde,Saudi Arabia,CPV,KSA,760478,400021485
66,H,2026-06-27T00:00:00Z,Uruguay,Spain,URU,ESP,760479,400021484
67,L,2026-06-27T21:00:00Z,Panama,England,PAN,ENG,760485,400021508
68,L,2026-06-27T21:00:00Z,Croatia,Ghana,CRO,GHA,760480,400021509
69,J,2026-06-28T02:00:00Z,Algeria,Austria,ALG,AUT,760484,400021497
70,J,2026-06-28T02:00:00Z,Jordan,Argentina,JOR,ARG,760483,400021495
71,K,2026-06-27T23:30:00Z,Colombia,Portugal,COL,POR,760481,400021505
72,K,2026-06-27T23:30:00Z,Congo DR,Uzbekistan,COD,UZB,760482,400021500
