name,wikidata_qid,image_url,opening_year,description
MetLife Stadium,Q10862290,https://commons.wikimedia.org/wiki/Special:FilePath/New_Meadowlands_Stadium_Mezz_Corner.jpg,2010,"MetLife Stadium, currently branded as New York New Jersey Stadium for the 2026 FIFA World Cup, is a multi-purpose stadium at the Meadowlands Sports Complex in East Rutherford, New Jersey, United States, 5 mi (8 km) west of New York City. It opened in 2010, replacing Giants Stadium, and serves as the home for the New York Giants and New York Jets of the National Football League (NFL). At an approxi"
SoFi Stadium,Q19520501,https://commons.wikimedia.org/wiki/Special:FilePath/SoFi_Stadium_%2851126606022%29.jpg,,"SoFi Stadium, currently known as Los Angeles Stadium for the 2026 FIFA World Cup, is an indoor multi-purpose stadium in Inglewood, California, U.S., a suburb of Los Angeles. SoFi occupies the former site of the Hollywood Park Racetrack and neighbors the Kia Forum and Intuit Dome."
AT&T Stadium,Q838284,https://commons.wikimedia.org/wiki/Special:FilePath/Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg,2009,"AT&T Stadium, currently known as Dallas Stadium for the 2026 FIFA World Cup, is a retractable roof stadium in Arlington, Texas, United States. It serves as the home of the Dallas Cowboys of the National Football League (NFL), and was completed on May 27, 2009. It is also the home of the Cotton Bowl Classic and the Big 12 Championship Game, and hosted the Southwest Classic until 2024. The stadium i"
Mercedes-Benz Stadium,Q7007552,https://commons.wikimedia.org/wiki/Special:FilePath/Mercedes_Benz_Stadium_time_lapse_capture_2017-08-13.jpg,2017,"Mercedes-Benz Stadium, currently known as Atlanta Stadium for the 2026 FIFA World Cup, is a retractable roof multi-purpose stadium in Atlanta, Georgia, U.S. Opened in 2017 as a replacement for the Georgia Dome, it is the home to the Atlanta Falcons of the National Football League (NFL), Atlanta United FC of Major League Soccer (MLS), and an expansion team of the National Women's Soccer League (NWS"
NRG Stadium,Q1058864,https://commons.wikimedia.org/wiki/Special:FilePath/Reliantstadium.jpg,2002,"NRG Stadium, currently known as Houston Stadium for the 2026 FIFA World Cup, and previously known, and to be renamed, as Reliant Stadium following the event, is a retractable roof multi-purpose stadium in Houston, Texas, U.S. Construction was completed in 2002, at a cost of $352 million and has a seating capacity of 72,220. It was the first NFL facility to have a retractable roof."
Arrowhead Stadium,Q544553,,1972,"Arrowhead Stadium, currently known as Kansas City Stadium for the 2026 FIFA World Cup, is an American football stadium in Kansas City, Missouri, United States. It primarily serves as the home venue of the Kansas City Chiefs of the National Football League (NFL). It has also hosted other soccer games and college football games for regional teams."
Hard Rock Stadium,Q864339,https://commons.wikimedia.org/wiki/Special:FilePath/Hard_Rock_Stadium_for_Super_Bowl_LIV_%2849606707583%29.jpg,1987,"Hard Rock Stadium, currently known as Miami Stadium for the 2026 FIFA World Cup, is a multi-purpose stadium in Miami Gardens, Florida. The stadium is the home field for the Miami Dolphins of the National Football League (NFL) and the Miami Hurricanes, the University of Miami's NCAA Division I college football team."
Gillette Stadium,Q373355,https://commons.wikimedia.org/wiki/Special:FilePath/Gillette_Stadium02.jpg,2002,"Gillette Stadium, currently known as Boston Stadium for the 2026 FIFA World Cup, is a multi-purpose stadium located in Foxborough, Massachusetts, United States. The stadium is 22 miles (35 km) southwest of Downtown Boston and 18 miles (29 km) northeast of Providence, Rhode Island. It serves as the home stadium and administrative offices for both the New England Patriots of the National Football Le"
Lincoln Financial Field,Q1052370,https://commons.wikimedia.org/wiki/Special:FilePath/Philly_%2845%29.JPG,2003,"Lincoln Financial Field, currently known as Philadelphia Stadium for the 2026 FIFA World Cup, is an American football stadium in Philadelphia, Pennsylvania, U.S. It is the home stadium of the Philadelphia Eagles of the National Football League (NFL) and the Temple Owls football team of Temple University. The stadium is located in South Philadelphia on Pattison Avenue between 11th and South Darien "
Levi's Stadium,Q7419343,https://commons.wikimedia.org/wiki/Special:FilePath/Levi%27s_Stadium_interior_1.jpg,2014,"Levi's Stadium, currently known as San Francisco Bay Area Stadium for the 2026 FIFA World Cup, is a stadium in Santa Clara, California, United States, just west of San Jose in the San Francisco Bay Area. It has served as the home venue for the San Francisco 49ers of the National Football League (NFL) since 2014. The stadium is located approximately 40 miles (64 km) south of San Francisco. It is na"
Lumen Field,Q612736,https://commons.wikimedia.org/wiki/Special:FilePath/Qwest_Field_North.jpg,2002,"Lumen Field, currently known as Seattle Stadium for the 2026 FIFA World Cup, is a multi-purpose stadium in Seattle, Washington, United States. Located in the city's SoDo neighborhood, it is the home field for the Seattle Seahawks of the National Football League (NFL), Seattle Sounders FC of Major League Soccer (MLS), and Seattle Reign FC of the National Women's Soccer League (NWSL). It has a seati"
BMO Field,Q796351,https://commons.wikimedia.org/wiki/Special:FilePath/BMO_Field_in_2016.png,2007,"BMO Field, currently known as Toronto Stadium for the 2026 FIFA World Cup, is an outdoor stadium located at Exhibition Place in Toronto, Ontario, Canada. Constructed on the former Exhibition Stadium site and first opened in 2007, it is the home field of Toronto FC of Major League Soccer (MLS) and the Toronto Argonauts of the Canadian Football League (CFL). BMO Field is owned by the City of Toronto"
BC Place,Q612227,https://commons.wikimedia.org/wiki/Special:FilePath/BC_Place_Opening_Day_2011-09-30.jpg,1983,"BC Place, currently known as BC Place Vancouver for the 2026 FIFA World Cup, is a multi-purpose stadium in Vancouver, British Columbia, Canada. Located at the north side of False Creek, it is owned and operated by the BC Pavilion Corporation (PavCo), a Crown corporation of the province."
Estadio Azteca,Q320454,https://commons.wikimedia.org/wiki/Special:FilePath/Vista_a%C3%A9rea_del_Estadio_Azteca_-_2026_-_02.jpg,1966,"Estadio Azteca, currently known as Mexico City Stadium for the 2026 FIFA World Cup, and officially known as Estadio Banorte for sponsorship reasons, is a football stadium located in Coyoacán, Mexico City. It is the official home of football team Club América, as well as the Mexico national team. The stadium sits at an altitude of 2,200 m above sea level. With a capacity of 87,523, it is the larges"
Estadio Akron,Q666183,https://commons.wikimedia.org/wiki/Special:FilePath/Estadio_Omnilife_Chivas.jpg,2010,"Estadio Akron, currently known as Estadio Guadalajara for the 2026 FIFA World Cup, and formerly known as Estadio Omnilife and Estadio Chivas (Estadio Chivas, Spanish pronunciation: [esˈtaðjo ˈtʃiβas]), is a multipurpose stadium in Zapopan, near Guadalajara, in the Mexican state of Jalisco, that is used mostly for football matches. It is the home of Liga MX side Guadalajara. The stadium is named fo"
Estadio BBVA,Q3058827,https://commons.wikimedia.org/wiki/Special:FilePath/Mexico_Guadalupe_Monterrey_Estadio_BBVA_Bancomer_fifa_world_cup_2026_6.JPG,2015,"Estadio BBVA, currently known as Estadio Monterrey for the 2026 FIFA World Cup, and formerly known as Estadio BBVA Bancomer, is an association football stadium located in Guadalupe, Nuevo León, Mexico. Dubbed ""El Gigante de Acero"", it replaced the Estadio Tecnológico as the home of C.F. Monterrey, ending the club's 63-year tenure at that venue. Its name is branded after the BBVA Spanish bank, and "
